EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
제17회 전남연극제,,1999-04-23,1999-04-28,,,거울『김치국씨 환장하다』외 5작품. 나주문예회관
제15회 전북연극제,,1999-04-24,1999-04-30,,,하늘『블루사이공』외 3작품. 군산시민회관
제9회 제주연극제,,1999-04-26,1999-04-29,,,이어도『어머니』외 3작품. 제주문예회관 대극장
제38회 온양문화제,,1999-04-27,1999-04-29,온양문화원,충남 아산시 온양온천 시민로 광장,"마당극, 국악공연"
경기도립국악단 남한산성 축제 국악공연,,1999-04-29,1999-04-29,,남한산성 야외무대,"수제천, 아쟁산조, 그저녁무렵부터 새벽까지, 피리삼중주 외"
경기도립국악단 여주도자기 축제 국악공연,,1999-04-29,1999-04-29,,여주 야외무대,"수제천, 아쟁독주, 경기민요, 황톳길 외"
동춘당문화제,,1999-04-29,1999-04-29,대덕구,동춘당 및 일원,"동춘당 승모제례, 민속놀이"
밀양 아랑제,,1999-04-29,1999-05-01,아랑제 집전위원회,밀양시 남청강 고수부지,백중놀이
충주전통무술축제,,1999-04-29,1999-05-02,,충북 충주실내체육관외,"충주시청 주관, 전통민속놀이마당"
제23회 가락문화제,,1999-04-29,1999-05-02,,경남 김해시 공설 운동장외,가락문화제전위원회
복사골 예술제,,1999-04-29,1999-05-06,부천문화원,부천시일대,"장말도당굿, 전국남녀시 조경창대회, 봉산탈춤공연 외"
풍남제,,1999-04-30,1999-05-07,전주시,전주공설운동장,민속놀이
밀양아리랑제,,1999-05-01,1999-05-01,밀양문화원,밀양문화원,종합문화예수경연대회
통영 예술제,,1999-05-01,1999-05-07,예총 통영지부,통영시민문화회관,
모시문화제,,1999-05-01,1999-05-07,서천군,충남 서천군 한산모시관,민속경연대회
제3회 군산아동극축제,,1999-05-01,1999-05-05,,,"군산시, 군산연극협회. 청소년수련원 등"
제11회 마산국제연극제,,1999-05-01,1999-05-10,,,경주시립극단『김치국씨 환장하다』등 국내외. 마산 올림픽국민생활관
제1회 인형극축제한마당,,1999-05-01,1999-05-23,,,상계동 미도파 인형극단 소리 외
차범석 연극제,,1999-05-01,1999-05-30,"극예술학회 무천, 소극장 예전",,온누리『불모지』외 3작 품. 대구 예전소극장
제1회 장성 홍길동축제,,1999-05-04,1999-05-04,전남장성군,장성공설운동장,전남도립국악단 국악공연
준향제,,1999-05-04,1999-05-08,,"광한루일원, 춘향문화 예술회관","전국판소리명 창대회 , 어린이 사물놀이 경연, 창무극 외"
전남 함평축제,,1999-05-06,1999-05-06,전남함평군,함평천광장,전남도립국악단 공연
’99세익스피어축제,,1999-05-06,1999-05-20,한국세익스피어학회,,"광운대문화 소극장, 의정부시민회관 등"
