ctprvn_nm,signgu_nm,signgu_cd,residnt_2030_cnt,ibllbr_fclt_cnt,museum_fclt_cnt,artgr_fclt_cnt,prfplc_fclt_cnt,fclt_cnt,ibllbr_rate,museum_rate,artgr_rate,prfplc_rate,fclt_rate,FILE_NAME,base_ymd
"충청남도",홍성군,44800,20633,2,3,1,1,7,9.693209906460525E-5,1.4539814859690787E-4,4.846604953230262E-5,4.846604953230262E-5,3.3926234672611836E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",괴산군,43760,6903,1,3,0,1,5,1.4486455164421265E-4,4.34593654932638E-4,0.0,1.4486455164421265E-4,7.243227582210633E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",단양군,43800,5657,3,2,0,1,6,5.303164221318721E-4,3.5354428142124803E-4,0.0,1.7677214071062401E-4,0.0010606328442637441,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",보은군,43720,5993,1,2,0,1,4,1.668613382279326E-4,3.337226764558652E-4,0.0,1.668613382279326E-4,6.674453529117303E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",영동군,43740,8672,2,4,0,1,7,2.3062730627306272E-4,4.6125461254612545E-4,0.0,1.1531365313653136E-4,8.071955719557196E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",옥천군,43730,9563,2,2,0,2,6,2.0913939140437102E-4,2.0913939140437102E-4,0.0,2.0913939140437102E-4,6.27418174213113E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",음성군,43770,22784,4,3,0,1,8,1.7556179775280898E-4,1.3167134831460674E-4,0.0,4.3890449438202246E-5,3.5112359550561797E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",제천시,43150,27508,6,5,0,3,14,2.181183655663807E-4,1.817653046386506E-4,0.0,1.0905918278319034E-4,5.089428529882216E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",증평군,43745,7597,2,1,0,1,4,2.6326181387389757E-4,1.3163090693694878E-4,0.0,1.3163090693694878E-4,5.265236277477951E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",진천군,43750,17175,4,1,1,3,9,2.328966521106259E-4,5.8224163027656476E-5,5.8224163027656476E-5,1.7467248908296942E-4,5.240174672489083E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",청주시 상당구,43111,36755,3,5,2,4,14,8.162154808869541E-5,1.3603591348115902E-4,5.441436539246361E-5,1.0882873078492722E-4,3.809005577472453E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",청주시 서원구,43112,46071,3,1,2,7,13,6.511688480823077E-5,2.1705628269410258E-5,4.3411256538820516E-5,1.5193939788587182E-4,2.8217316750233333E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",청주시 청원구,43114,41714,4,2,2,3,11,9.589106774703936E-5,4.794553387351968E-5,4.794553387351968E-5,7.191830081027953E-5,2.6370043630435827E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",청주시 흥덕구,43113,56351,5,4,2,3,14,8.87295700165037E-5,7.098365601320296E-5,3.549182800660148E-5,5.323774200990222E-5,2.4844279604621037E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"충청북도",충주시,43130,44286,5,7,2,2,16,1.1290249740324256E-4,1.580634963645396E-4,4.5160998961297026E-5,4.5160998961297026E-5,3.612879916903762E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
