"CTPRVN_NM","SIGNGU_NM","SIGNGU_CD","RESIDNT_2030_CNT","IBLLBR_FCLT_CNT","MUSEUM_FCLT_CNT","ARTGR_FCLT_CNT","PRFPLC_FCLT_CNT","FCLT_CNT","IBLLBR_RATE","MUSEUM_RATE","ARTGR_RATE","PRFPLC_RATE","FCLT_RATE","FILE_NAME","BASE_YMD"
"경기도","광명시","41210","79892","5","1","0","1","7","0.00006258448906023100","0.00001251689781204630","0.00000000000000000000","0.00001251689781204630","0.00008761828468432400","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","광주시","41610","103068","6","5","2","1","14","0.00005821399464431300","0.00004851166220359370","0.00001940466488143750","0.00000970233244071875","0.00013583265417006200","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","구리시","41310","53702","3","1","0","1","5","0.00005586384119772100","0.00001862128039924030","0.00000000000000000000","0.00001862128039924030","0.00009310640199620100","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","군포시","41410","76724","6","0","0","1","7","0.00007820238777957400","0.00000000000000000000","0.00000000000000000000","0.00001303373129659560","0.00009123611907616900","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","김포시","41570","126747","5","3","2","1","11","0.00003944866545164800","0.00002366919927098870","0.00001577946618065910","0.00000788973309032955","0.00008678706399362500","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","남양주시","41360","174576","12","11","2","1","26","0.00006873797085510000","0.00006300980661717530","0.00001145632847585010","0.00000572816423792503","0.00014893227018605100","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","동두천시","41250","21444","2","2","0","1","5","0.00009326618168252200","0.00009326618168252190","0.00000000000000000000","0.00004663309084126100","0.00023316545420630500","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","부천시","41190","234176","0","9","0","2","11","0.00000000000000000000","0.00003843263186663020","0.00000000000000000000","0.00000854058485925116","0.00004697321672588100","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","부천시 소사구","41190","195175","3","0","0","0","3","0.00001537082105802500","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00001537082105802500","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","부천시 오정구","41190","195175","2","0","0","0","2","0.00001024721403868300","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00001024721403868300","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
